WORD,COUNT
담배,1
클래스,1
교재,1
더딘,1
믿기,1
담그,1
병,1
한눈,1
잠바,1
생과일,1
약가,1
커팅,1
난감,1
아랑,1
달고나,1
스피릿,1
계란,1
생전,1
흑흑,1
못,1
잊,1
피해,1
떨어진다고,1
느낍니다,1
소음,1
포기,1
갈리,1
라운지,1
며칠,1
똑같이,1
슬프,1
해간,1
버린,1
배우,1
대부분,1
바꿔도,1
알레르기,1
반응,1
단거,1
개별,1
출구,1
슬라이스,1
오마이,1
갓,1
역과,1
아메리,1
맷집,1
바두,1
빠오,1
투자,1
허리,1
어울리,1
개취,1
갈증,1
한자,1
여름밤,1
해내,1
빠져서,1
안락,1
신분증,1
스테이크,1
빨대,1
피,1
반해서,1
부릅,1
얼린,1
춥습니다,1
유스,1
습한,1
장마철,1
다이어트식,1
인심,1
증정,1
비효율,1
머시룸,1
비앙코,1
슈퍼,1
펼쳐져,1
눈길,1
어렸,1
찾아보,1
할미,1
나머지,1
부드러운,1
왠지,1
고일,1
오래기다려야,1
선착순,1
싰고,1
석도,1
푸딩,1
보들보들,1
여주,1
내음,1
제목,1
전적,1
꿋꿋,1
근사,1
감수,1
드시,1
자고,1
유정란도,1
달걀,1
가져다주,1
확연히,1
바리스타,1
비스킷,1
이제야,1
까리,1
팔미,1
전망,1
정리정돈,1
보임,1
어우러져서,1
알려진,1
갖춘,1
에코,1
유지,1
쉬웠,1
제격,1
견인,1
쫄깃쫄깃,1
재스민,1
데려다,1
딸내미,1
들려,1
낭만,1
달달고소,1
막힙니다,1
배고파서,1
완저,1
핫도그,1
큼직,1
창문,1
강,1
추,1
걸렸,1
명당자리,1
놓치,1
선뜻,1
렵니다,1
캐치,1
평지,1
바닥,1
회색,1
추운편,1
우수,1
스위트,1
스니커즈,1
어색,1
중간식,1
폭신,1
압승,1
단단,1
자릿수,1
북적,1
기운,1
포만감,1
아메도,1
오프라인,1
약하,1
그럴,1
한국인,1
스타일리시,1
던지,1
보냅니다,1
보율,1
럼블,1
명랑,1
낮,1
농도,1
바라기,1
제품,1
머무를,1
미쳐,1
조앙,1
한몫,1
더러웠,1
울림,1
흘려서,1
대용량,1
먹였,1
추출,1
매력,1
외국,1
흐트러지지,1
워낙에,1
북적였,1
비닐,1
로고,1
다숩,1
부리,1
배불러서,1
행운,1
내려요,1
블로거,1
극찬,1
느낄,1
기반,1
밥가격,1
겉멋,1
와도,1
갈수록,1
주의,1
시끌벅적,1
센스있,1
걸려서,1
와볼,1
당신,1
인사성,1
거품,1
갈고,1
물씬,1
헤벌린,1
빌리,1
포토스폿,1
풍겨서,1
무향,1
내부외,1
버세,1
해장,1
라즈베리,1
꼼꼼히,1
가벼워져서,1
널찍널찍,1
더위,1
노약자,1
남겨요,1
감기,1
뜨거웠,1
절실,1
김치찌개,1
욕구,1
레몬차,1
부위,1
화환,1
깜놀,1
great,1
귀신,1
아이디어,1
화려,1
더운,1
커뮤니티,1
몰입,1
타대,1
기여,1
비빌,1
간단히,1
스탭,1
애호가,1
정원,1
짜,1
주도,1
해외여행,1
정성껏,1
잘려,1
일회용,1
신통방통,1
컨테이너,1
전시물,1
시끄럽지만,1
드라마,1
구멍,1
생활,1
문화,1
고르곤졸라,1
큐브,1
프레첼,1
트렌디,1
끝냈,1
부드러웠,1
이야기,1
컸었,1
조탕,1
배정,1
지쳐서,1
국군,1
배고픈,1
순두부,1
크로플레,1
반숙란,1
향대,1
박,1
흥미,1
뻔한,1
주민,1
케이크도,1
실천,1
자르,1
전해,1
자생,1
이름표,1
때깔,1
아름답다,1
겁내,1
Amazing,1
쪨,1
물량,1
짜릿,1
개당,1
갈릭,1
마게,1
스쿱,1
배고팠,1
꺼짐,1
낙점,1
독서,1
조을,1
단지,1
시경,1
마를,1
아인슈타인,1
거친,1
어른,1
재방,1
포레스트,1
부루,1
아사이,1
가까이,1
춥더라고요,1
열려,1
들어갈,1
해소,1
위로,1
놀란,1
어울렸,1
월요일,1
특징,1
돌덩이,1
한참,1
본사,1
냉랭,1
