,USER,SCORE,REVIEW
219,뉴지이,4,성수낙낙점 선택이 안되네
220,리쩡,5,굿
221,할미새사촌,5,자주갖니닽 ㅎㅎ
222,602,3.5,가까워서 좋아요
223,jmj****,4,친절하고 맛잇어요ㅔ
224,윤세희,4.5,근처라서 자주가요 친절해요
225,에베베,5,넓어요
226,포비,5,굿굿
227,dod****,4.5,맛있어요
228,cha****,5,좋아 쪼아요
229,흔한남매,5,좋아요
230,kiki106,4,친절해요
231,min****,5,커피는 스타벅스가 최고!!!
232,min****,4.5,스타벅스 돌체라떼 달달하니 완전 내스탈!!!
233,파도,4.5,ㅇㅋ
234,Sunny,5,ㅡ
235,쭈니,4.5,즐겨찾는 별다방
236,꺄오,4,직원분들 친절~
237,의심많은자두,5,친절하세요! ㅎㅎ 예전부터 자주 찾습니다
238,지구,5,친절하고 좋아요 ^__^
239,mk,5,굿
240,dud****,2.5,스벅
241,lov****,4,친절해요~
242,dhl****,4,쏘쏘
243,영암아리랑,4,굿
244,ddb****,5,좋아요
245,아싸,4.5,👍
246,ㅊ,4,좋아요~
247,민트,5,매장도 엄청 크고 깔끔.사람들이 항상 많아요. 이름은 모르지만 남자직원분이 넘나 친절하셔서 또 아니 계속 이용하려고해요 ^^
248,선희,3.5,좋아요
249,쏭쏭,4.5,친절하고 빨리나와서 좋아요
250,미카엘라,3.5,좋아요
251,dhl****,4,쏘쏘
252,빅토리,4.5,좋아요
253,엘리엔젤,3.5,분위기 좋아요
254,kan****,5,맛잇어요
255,kan****,5,친절해요
256,kiarina,5,조아용!
257,달이85,5,조아요
258,둥이네,4.5,맛있어요
259,의문의사내,5,좋아요
260,starba99,5,#더블에스프레소칩프라푸치노 카페착석이 얼마만인지 진짜 사람 바글바글했지만 그동안 답답했던거 조금은 해소가 되네요
261,yexwna,3.5,좋아용
262,eow****,4,좋아요
263,아델,5,언제나 잘 가고 있습니다
264,박쮜,5,좋아요
265,우후,4,굿~
266,mij****,5,굿
267,민블리,4,친절해요
268,ssh****,4,좋아요
269,sun****,4,좋아요
270,ssh****,4,좋아요
271,ㅊ,4,좋아오~
272,꽥,4,.
273,hap****,5,좋아요
274,시묘,4,"친절, 빠름"
275,tpw****,4,맛있어요
276,뿌잇,5,늘 친절해요
277,피거,4,넓고 친절해요
278,시묘,4,사람이 많음에도 빠른 음료 제조
279,진탱,5,맛있게 마셨습니다^^
280,82b****,5,!
281,SHS,4,코로나 가운데서도 친절하셨음
282,ㅎrㄴr,4,좋아요
283,Cl,4,스타벅스는 어디든 굿
284,everyhappy,5,친절합니다
285,소미미이,5,괜찮아요
286,00mj76,4,맛나요
287,강동우,5,스벅은 진리
288,고구마,5,군
289,lim****,4,좋아요
290,ycw****,5,좋아요
291,lyh****,5,친절해여^^~
292,선희,4,좋아요
293,몽상가,4,케익샀어요
294,몽상가,4,역 가까이에 있어서 들렸어요
295,후후,5,맛남 매장 커서 종류 많음
296,cho****,5,항상 친절해서 좋아요 ~!
297,빵야,0.5,매장에서 포장했어요~ 결제할때 포인트 적립여부 안물어보네요~~ 다른지점도 그러던데 매뉴얼이 그런가봐요~ 스타벅스 케이크 비닐은 원래 저렇게 나오나요? 포장할때 확인하시는거죠? 크리스마스때부터 진열해놓은건 아닌지.. 비닐이 저래서 케이크 겉이 너무 푸석 +케이크에서 냉장고냄새도 느껴져요
298,Iliana,3,보통입니다.
299,wiseline,5,감사합니다
300,CR,5,친절하고 좋아요
301,이화동불주먹,5,넓고 쾌적해요!
302,Seal,5,넓어서 좋아요 얼른 코로나 끝났음 좋겠다 ㅠㅠ
303,lee****,3.5,좋아요
304,jbk****,5,좋아요
305,Hihello,5,깔끔해요
306,seo****,3.5,좋아요
307,옥이,5,방문자가 많아서 매번 기다려야 하지만 맛도 환경도 서비스도 좋아요
308,베티,5,"감기조심하라하셧는데, 그래서 이렇게 뜨겁게 많이 주신건가요, 따아인데 너무 뜨거웟어요ㅋㅋㅋ"
309,twins papa,4.5,친절해요
310,caomei,4,#성수 #스타벅스
311,dora,5,깔끔
312,pearl,5,토피넛라떼 너무 맛있ㅇㅓ요~
313,이유앤지,5,친절해서 좋아용
314,shl****,5,좋아요
315,qaz,5,테이크아웃.ㅠㅠ 코로나.ㅠㅠㅠ제발 없어져라
316,혀니,4,.
317,jae****,3.5,좋아요
318,물그라미,4,조용하네요..
319,따그르으릉,5,맛있어요
320,nopolo12,5,굿
321,뿌악이,4.5,친절하고 맛있어요
322,알짜부동산 AtoZ,4,굿
323,kkymin91,2.5,맛있어요~좋아요~!
324,동글,0.5,"알바언니가 완죠니 무서웠어요., 현금없는 매장이란걸 좀 착하게 말할수도 있었을텐데말이져,,"
325,뭉,5,스타벅스 좋아해요
326,moon,4.5,좋아용
327,ad7****,4,친절합니다
328,sHa,5,좋아요
329,BOKU,4.5,좋아요
330,hyangmi333,4,#좋아요
331,조아조아,4.5,친절하고 좋았어요.
332,Halmum,5,좋아요
333,고끼리,5,원래 엄청기다려야되는데 코로나땜에 한적하네요 친절한곳
334,jae****,3.5,맛남
