,USER,SCORE,REVIEW
108,오예,5,"성수동 갈일 있는데 작고 특색있게 힙한 카페 찾으면 추천드려용 ㅎㅅㅎ 작은만큼 상대적으로 조용합니다! 음료는 여럿 있는데 디저트가 별로 없어 아 쉬웠네요 ㅠ.ㅜ 젤라또는 테이블당 1개여도 충분할거같아요! 시큼상큼이라 맛있는데 많이는 안들어가요. 매장에 신경 많이 쓰신게 들어가자마자 소품, 그림들로 느껴지던 좋은 카페였습니다."
109,tkd****,5,분위기 굿 여친이랑
110,인마이메모리,5,좋아요!
111,Brown Eyed 가백,5,언제나 굿 👍
112,yeb****,5,오랜만에 방문했는데 역시 존맛탱~~~ 자주와야겠어염~~>< 직원 분들도 너무 친절해요~~
113,린도세,5,여기 넘 좋아서 자주가요 기뷰좋아지는카페
114,소리,5,너무 친절해요👍🏻 인테리어도 맘에들고 특히 포토존😊 사장님 번창하세요❤
115,우왕굳,5,컨셉 확실한 곳! ㄹㅔ몬을 베이스로 한 상큼한 게 많습니다 손님 배려도 잘해주시고요 추울 까봐 주신 보리차도 감사했습니다
116,mes****,5,엄청 친절해요 그래서 또 오고 리뷰까지씁니다 커피도 맛있고 특히나 저번에 먹었던건데 토마토에 꿀들어간거 진짜 맛있어요 강추 커피를 먹었더니 마 스크를 주네요 개꿀띠
117,지니예,5,카페도 귀엽구~ 커피도 맛있구~
118,_____,5,슬러쉬도 역시나! 기대를 져버리지 않는 맛이였어요 모든메뉴가 다 맛있어서 갈때마다 메뉴선택에 결정장애가 생기네요~^^
119,잠이부족한넘,5,맛있어요 ㅠㅠㅠㅠㅠ
120,_____,5,레몬젤라또 너무 상큼하고 맛있어요~ 입가심하기에도 좋구 계속 생각나는 맛이네요 사장님두 친절하시구 자주 가고싶은 오프에요~
121,Edyun0909,5,오늘 크림치즈브레드 흡입했어요! 보리차 주시는거 진짜 최고에요!
122,kyw****,5,항상 친절하시고 커피가 깔끔하고 자주 방문합니다
123,이슈,5,항상 친절하게 응대해주셔서 기분좋아요😊 아메리카노 한잔을먹더라도 이런곳은 자주찾게 되는것 같아요
124,did****,5,역시 깔끔하게 커피 잘하는집!
125,토리토리햄토리,5,카페일 오래했어서 원래 아메 맛 엄청 가리는데 여긴 진짜 원두부터 머신관리까지 잘 하시나봐요
126,손수진,5,맛있어요 !! 제가 '얼죽아'인지라 .... ㅎㅎ 추천드려요 !!
127,zmg****,5,여기 커피향 너무좋아요 ㅠㅠ 부드럽고 맛있어요 ~~ 분위기도 굿굿
128,도리맘,5,오프커피는 언제나 굿👍👍👍
129,mi0****,5,오늘도 굿~
130,soon3926,5,따스한 추억! 즐거운 경험!! 진짜 좋네요
131,yuni,5,소문데로 엄청 친절해서 먼곳에서 온 보람있네요.커피맛도 최고네요~
132,화명황태자,5,참 재미난곳이네요 커피맛도 훌륭하고 토마토도 맛나네요♡
133,aab****,5,레몬젤라또 너무 맛있어용 강력추천합니다. 신 거 좋아하시는 분은 바질레몬슬러시도 추천해드려요!
134,YOLO,5,아아 맛집🥰😍🥰
135,son****,5,집과 가까워서 방문했어요 맛있네요 무난하고 !!
136,dpf****,5,커피가 향부터 좋아요~
137,부그부그,5,맛도 훌륭하고 분위기가 너무 좋았어요 !
138,지안에몽,5,가게 분위기가 정말 좋았고 노래도 좋았어요 젤라또랑 오프 아이스 먹었는데 둘 다 맛있었습니다. 다음에 또 올게요
139,jangey,5,오자마자 보리차 주셔서 정말 감사합니다! 컵받침이 있어서 가져가도 되냐고 물어봤는데 가져가라고 주셨어요!! 감사합니다!! 커피도 꿀우유도 너무맛있어요 다음에 또 오겠습니다 ♥
140,어어어어어어엉어,5,완전 최애 단골카페 사장님도 착하시고 음악도 좋고 맛도최고 뭐하나 빠지는게 없음
141,이,5,진짜 넘넘 맛있구 분위기도 인테리어도 이뻐요 !!
142,nam****,5,카페 분위기도 넘 좋구 편하게 쉬다가 갈 수 있어서 너무 좋아용 최고
143,할수있어요,5,역시 커피는 아아죠^^! 카페 느낌 있어서 자주 올듯ㅎ
144,손수진,5,맛잇어요 ~ 좋아요 ~ 추천드려용 ㅎㄹ
145,수리새,5,커피 향이 너무 좋고 빵 맛잇어요
146,욤욤,5,지나가다 들렸는데 아아맛이 좋았어요~
147,030****,5,🤍🤍🤍🤍🤍🤍🤍🤍🤍🤍🤍🤍🤍🤍🤍🤍🤍
148,하비비,5,커피맛이 너무 좋아서 자주 찾아가요~
149,tka****,5,두번째 방문했는데 너~~~무 맛있어요!!! 진짜 ㅠㅠ 첫번째 방문 때 너무 맛있어서 이번엔 다른 메뉴로 시도 했는데 여기는 메뉴가 다 맛있나바여... 너무 분위기도 좋고 맛도 좋아서 앞으로 더 자주 와야겟어용 ㅋㅋ 멀리 사는데 친구랑 데이트 하러 또 와야겟어용 >_< ㅋㅋㅋ 근래에 갓던 곳 중에 최고에용용 >_< ㅋㅋㅋ 번창하세용용
150,rjs****,5,편하게 올수 있고 좋은 노래가 많이 나오는 카페 너무너무 좋아요 매주 오고싶은카페
