,USER,SCORE,REVIEW
121,jor****,5,스무디보울 점심으로먹고 그래놀라가 너무 맛있어서 사왔어요~~~ 요즘 아침마다 그릭요거트에 그래놀라 넣어서 먹으니 든든하고 꿀맛입니당! 스무디보울도 넘 맛나요 그래놀라는 추가해야 좀더 든든한 한끼가 될듯^^
122,비타민,5,맛있었어요!! ㅠㅠ 퍼플 옐로우에 그래놀라 추가했는데 카카오 그래놀라 맛있네요. 양도 나름 많구 가격이 약간 비싼 편이긴 하지만 들어간 재료가 푸짐해서 만족합니다
123,쮜넌,5,존맛
124,오늘날씨,5,인테리어 예쁨
125,748****,5,좋아요
126,뽀기뽀기,4.5,맛있어요!!!
127,mar****,5,맛잇어요!싱싱하고 배도든든하고 겨울에먹으면 약간춥긴햇는뎈ㅋㅋ 진짜맛잇어요
128,물물,5,좋았어요
129,보석이,4.5,맛있어요오오! 아사이볼 너무 좋아하는데 적당히 달고 계절마다 과일이 바뀌어서 또 좋아요 ㅎㅎ 가격이 좀 있는 편이긴 한데 그래도 다이어트 할때나 가벼운 한끼 먹고싶을때 강추입니다 !
130,나영,5,퍼플이 맛있고 그레놀라가 다 먹을때까지 안눅눅해지고 식감이 좋다
131,김준하,5,맛있음
132,할미새사촌,3,디저트로 먹기 조아요 식사로 먹음 배고픕니당
133,윤세희,3.5,배고파야 근데 마시뇨ㅏㅇ요 식사 대용으로 막음 좀 바고파요
134,hyun,3.5,가게 예쁘고 좋아요 근데 소리가 너무 울림 ㅜㅠ
135,들쑥날쑥,5,너무 시어
136,lnh****,5,맛있어요 ㅎㅎ
137,후훗,5,새콤달콤 과일이랑 그래놀라 가득한 건강한 식사로 추천합니다👍🏻
138,주신아,4.5,개인적으로 너무 단 거 빼고는 정말 맛있어요! 그리고 아몬드 버터 꼭 추가하기..ㅎㅎ
139,Claire,5,오랜만에 갔는데 픽업하기에도 좋았고 맛은 여전히 좋네요 :)
140,미니미,2,과일 퀄리티가 별로에요~~
141,꾸우,5,아직 먹기 전인데 기대됩니다
142,김은진,5,요청시간에 맞게 준비해주시고 포장이 아주 깔끔해서 차에서 먹기도 좋았어요!!
143,위니,4.5,맛있어요 ^^ 근데 가격이 ㄷㄷㄷ
144,조민영,5,맛있고 깔끔해요!
145,김지니,5,딸기치케보울 아사이보울 네이버주문하여 방문포장으로 주문했습니당 주문 기다리는 동안은 가게 앞에 주차가능하고 주문하자마자 바로 만들어주시 는 샐러드볼👍🏻 집까지 차로 거의 1시간 걸렸는데 녹지않았고 너모맛있게 잘먹었습니다 보울 하나 두명이서 먹기에 딱조아요 딸기치즈케익 보울은 달 달하면서 치즈랑 딸기랑 잘어우러지는 맛이고 아사이볼은 과일이 좀더 다양하고 상큼한 맛이에여 너모너모 맛있어욤😘🥰😍
146,sisi,5,분위기 넘 예뻐요
147,퍼블리,5,진짜 너무너무너무너무너무 맛있어요!! 인생스무디볼입니다. 절대 망설이지말고 꼭 드세요🍓👍
148,mih****,4,건강한맛 고ㅏ일맛으로먹어요’ 맛있어요 사람이 많아서 오래기다려야함 ㅜ 만드는데 시간이 좀 걸려요
149,유딩딩,5,색다른 건강한맛 과일 맛 좋았어요!
150,슬콩,2.5,원래 다양한 맛을 좋아하는데 너무 셔서 다 먹고서는 혀가 아팠어요.. 포도랑 파인애플이 고루 들어가있어서 영양분은 충분한 것 같았지만 다음에는 안 먹을 것 같아요 ㅜㅜ
151,이써니,5,늘 맛있게 먹고 있어요~
152,Gingermaple,5,별 기대 없었는데 커피도 너무 맛있고 보울도 생각보다 건강하게 달아서 맛있었음
153,dc4****,5,굿 맛있어용
154,치카치카를 잘하자,5,진짜 너무 맛있어요!!!
155,이지현,5,맛있어용!
