,USER,SCORE,REVIEW
296,sangwon0924,5,"커피,베이커리 둘다 맛있어요~"
297,anyeung,4,너티 클라우드는 진하고 고소해요. 라떼도 맛있어요
298,미자얏얏,5,가격대가 높은편인데 음료나 베이커리는 맛있어요
299,lala,5,넛티클라우드 너무 맛잇어요..
300,오늘하루도,5,맛있어요
301,sangwon0924,4,성수동 최애 맛집~!!
302,호로롤,4,맛있는 맛집
303,jh,5,공간이 여유있고 직원분들도 친절하십니다! 다만 커피맛이 기대에 조금 못미쳐서 아쉽네요.
304,lynn9810,5,"편안한 공간, 도렐"
305,콩,4,굳
306,오늘하루도,5,좋아요
307,러블리히블리,5,분위기는 좋지만 맛은 그다지... 너티클라우드는 맛있어요!
308,써니빠,4,짱맛!
309,달자,5,"너티클라우드, 땅콩 아이스크림들어가서 고소한데 좀 달아요"
310,gra****,4,성수역에서 멀지 않은 위치에 숨어(?)있는 카페! 까눌레는 평범한 맛이지만 음료랑 같이 먹기 좋았습니다. 다른 베이커리류와 시그니처 음료가 궁금해서 또 와볼 거 같아요.
311,다솜,5,굿
312,gra****,5,굿
313,다솜,5,아가씨가 친절하네요~
314,올리브나무,4.5,도렐 은 넛티클라우드 커피가 유명하지만 제주본점에서 먹었을때 별로였던지라 이곳에선 베이커리랑 아메리카노 마셨습니다! 커피가 고소하고 진해서 맛있네요! 빵종류도 괜찮았으나 몇몇빵에 먼지 쌓인게 보이더라구요.. 오픈되있고 밝은 햇살이 들어오니 더 잘보였던거같아요 성수쪽 괜찮은카페는 다들 복잡거려서 가기 싫은데 이곳은 매장 자체가 넓고 띄엄띄엄 앉을수있어서 좋았습니다
315,Shinmi,4,층고도 높고 맛도 좋았어요 라떼가 고소해요
316,Simon Shin,5,짱맛 너티클라우드
317,jkj****,5,시그니처 너티클라우드 맛있어요 ㅎㅎ 땅콩향 가득 그리고 같은 건물에 있는 스탭밀에서 식사하고 가면 할인됩니다
318,하와,5,무난
319,hbin0503,5,굳
320,jkj****,5,너티클라우드는 진짜 어디서 맛볼수 없는 커피에요! 완전 맛있어요!!!
321,dlwovlf2,4,ㅜㅜ 맛있어요
322,뚜정,3,맛있는데 아이스 음료 양이 너무 적어요 ㅠㅠ
323,망고동쿠,5,커피가 진해요~
324,해피짱,3.5,도렐 커피 맛있어요~ 자주오는 곳. 커피맛이 진해요
325,스파클링,5,시그니쳐 커피 종류 맛나요 ^^
326,해일리심,5,감사합니다 잘먹었네요~~
327,호비시,5,샌드위치 맛있어요. 카프레제 신선쓰
328,정달,5,아침엔 샌드위치로 시작! 10시 이전에 구매하면 삼십프로 할인들어가요 ❤️ 카프레제 존맛탱 ㅠㅠ
329,뭉스,4,커피도 맛있는데 월간 썸머씨리즈도 맛있어요. 이근처 빵집 중 괜찮은 편
330,euna,5,도렐 커피 유명한거 원래 알았고 케이크가 나왔길래 먹어봤는데 존맛탱이네여 👍❤️
331,상식녀,4,갈때마다 커피맛의 편차가 있긴 한데 대체로 중상은 됨 커피맛있어서 가는 집
332,pum****,4,
333,fly away,4,커피 맛나요
334,절약미녀,5,제주가고싶음 ㅠㅠ 맛잇어어 ㅜㅜㅜ
335,nyangnyang,5,너티클라우드 강추에요~~ 제주도 도렐가고싶당ㅜㅜ
336,절약미녀,5,맛있어요ㅠㅠ 너티클라우드ㅠㅠㅠ
337,88p****,4,제주도 가고싶어요 ㅠㅠ
338,aliceboa,4,맛있어요
339,sso****,4,성수역에서 가깝고 커피 맛은 보통이예요.
365,윤보영,5,케익이 너무 맛있어용
366,focuson,5,무료 주차 30분 지원되어서 좋았습니다. 예약한 시간에 맞게 케익도 준비되었구요.
367,kyn0105,5,너무 예쁜 파티했어요
368,생긋,5,예쁜데 맛도 좋았어요 ^^
369,jam****,5,매일아침 최고의 커핑
370,난나,4,드디어 먹어본 너티클라우드 넘 작은 잔이어서 살짝 놀라고 첨의 땅콩크림맛이 한 세모금이면 없어져요. 디저트로 마시기 좋아요. 
371,한나별솔,5,시그니쳐메뉴도 맛있었고 아메리카노 진한게~~ 넘 좋네요.!!!
372,Muse,5,새로운맛!!! 고소하고 달고 묵직하네용!! 신선하고 맛있어어!!!
373,eun****,5,👍👍👍👍👍
374,럽럽,5,까눌레 맛있어요
375,ㅇㅇㅇㅇ,5,위에 크림도 맛있고 밑에 커피때문에 전체적으로 너무달지 않아서 좋았어요. 정말맛있어요!
376,사슴남자,4,진짜 맛있는데 가성비는 좀..
377,babysomtam,5,많이 달지 않고 개운한 맛. 좋아요:)
378,주키치,5,기분 좋아지는 카페인이라 행복한 티타임 즐겼습니다 감사합니다
379,Joontaenam,5,맛있습니다
380,Joontaenam,5,맛있습니다
381,란다짱,,아주 맛있었어요
382,Joontaenam,,항상 맛있습니다
383,Diana,,사이즈는 스벅 톨사이즈 보다 작아요! 엄청 작고 땅콩 크림맛이 많이나는데 제가 땅콩을 안좋아하나봐요 ㅠㅠ 입이 살짝 텁텁해지고 비리다고 해야하나 약간 그런 느낌.... 아무튼 독특한 맛이었습니다! 한번은 먹어볼만한!!! 주차는 건물 지하 주차장 이용하시면 되고 평일은 지원 안하고 30분 무료주차입니다~ 참고 하셔용
384,동동방동,4.5,바스크치즈케이크는 생각보다 .. 많이 작았습니다 하핫..ㅠㅠ
385,악바리,5,생각보다 너티 클라우드는 달지 않고 진했어요
