,USER,SCORE,REVIEW
190,제니,3,"카페로 가서 조각케익은 몇번먹어보았고 맛있어서 엄마 생신 케익을 홀케익으로 예약했어요. 며칠전에 직접가서 카드결제했는데 당시 영수증도 안주셔서 제가 달래서 받고,,찾으러올때 제대로 안되어있는것 아니야?했는데 아니나다를까 결제는 했냐부터 물어보시고 결제는했냐 카드결제 했냐 물으시고성함이거맞냐(다른예약자 이름이였음) 뭔가 어수선했어요. 따로 요청해서 영수증 안받았으면 선결제했다는거 증명하기 어려웠을것 같아요,, 홀케익주문하시는분들 영수증 꼭 받으시길.. 그리고 딸기가 너무 시어서ㅠㅠ 아직 철이 아니라 그런가봐요.."
191,리스,3.5,사람이 많고 조용한 분위기는 아니라 포장만 했어요 비오는날이라 걱정했는데 포장잘해주셨네요
192,songhh53,4,좋아요
193,qhq****,3.5,아인슈페너 너무 양이 작았어요 ㅠ 돈을 좀 다 올리고 양을 좀 늘렸으면 더 좋았을 것 같습니다;;;
194,이수민,5,맛나유
195,juzzing2,0.5,얼그레이티는 너무 쓰고 말차라떼는 건강한맛..? 사람많아서 갔는데 다신 안갈듯.. 음료 너무 노맛이네요ㅜ
196,sym****,3,^^
197,메리엘,4,따뜻해요~ 분위기도 좋네요
198,돈달돈달,5,직원분이 엄청 친절했어요! 딸기 생크림 케익 진짜 진짜 맛있어요. 나중에 홀케익 주문할거에요!
199,SH,5,디져트 맛집
200,gan****,4,넓어서 좋아요~
201,부끄럼,3,커피는 제가 좋아하는 타입은 아니었지만 케이크 맛있어요. 쌉싸름한 커피 좋아하시는 분들이 맞을 듯한 커피.
202,졔돌프,4,카푸치노는 너무 쓰고.. 흑임자라떼랑 블루베리크레이프 맛있어요!
203,김,4,케익 맛있어요!! 특히 자몽 홍차케익👍👍
204,djy****,5,여기 진짜 별로고 커피 완전 맛없어요.
205,yoo****,4.5,분위기 너무 좋아요~~~!
206,mocha,4,딸기케이크가 맛있네요^^ 디카페인 커피가 있어서 좋아요~ 자리는 좀 딱딱하고 불편하긴 하지만 직원분들이 친절하고 맛도 굳 ㅎ
207,트니,5,흑임자라떼 맛있어용
208,규노키오,4.5,아침에는 빵은 별로 없지만 그래도 분위기 있고 좋네요-^^/
209,콘치즈,5,자리도 편하고 아늑하니 분위기 좋아여
210,songhh53,4,좋아요
211,Suzie,5,케이크진짜대박 맛있어요.
212,momo,3,규모에 비해 사람이 별로 없는 편이던데 이유가 있어요 ㅜ 컨셉도 맛도 애매함..
213,가을이다,3,케익이 이뻐요 커피맛은 소소
214,어린왕자,5,말차 흑임라떼 맛 굿ㅋㅋ
215,쭌쭌,4.5,케이크 맛있어요
216,yuu****,5,조아요 깔끔해요
217,민정,3,케이크는 맛있었는데 커피는 쏘쏘... 분위기는 좋았어요 앉는 의자도 있고 코로나때문에 사람이 많았던게 흠이긴 해요
218,ese****,5,매장도 너무 예쁘고 깔끔하니 좋아요 패키지도 넘 사랑스러움
219,Monde,4,넓찍 굿
220,ese****,5,지인한테 선물할 일이 있어 바틀 아이스티랑 조각케익 샀어요 패키지도 예쁘고 분위기 너무 좋아요 또 들릴게여
221,hbb****,5,자몽홍차케이크가 정말 맛있어요!ㅎㅎ
222,사탕,5,케잌 짱맛있어여
223,나,5,좋아요 넓어요~~~~
224,방방,5,너무 마ㄴ족이네요!!!!
225,꾸잉,5,분위기도 좋고 너무 이뻐요!
226,dod****,5,좋아요
227,에띠,3.5,커피는 연함 플레인스콘은 푸석하고 초코스콘은 너무 달아요 그나마 단호박레몬스콘이 꾸덕하고 맛있는데 아이싱이랑 단호박이 어울리는지 모르겠음 넓고 인테리어는 예쁨
228,hjssol,5,굿
229,samenother,5,자몽홍차케이크 맛있어요홍 케이크 먹으러 종종 갑니다
230,히야,5,"커피, 스콘, 밀크레이프 다 맛있네요."
231,minee,5,내부가 너무 이쁨!
232,루시,4,맛있어요!
233,혜니,4,카페넘 이쁘고 커피도 맛있어요
234,뀨비뀨비,4,케이크 넘 맛있네요!! 분위기도 좋고♡ 크레이프케잌 대박이에요 ㅋㅋㅋ
235,센치너,5,이쁜 카페 앞에 주차도 가능 산미있는커피 시러하는데 산미없고 연함
236,라미,5,마를리는 언제나 자몽스무디입니다>_<.
237,songhh53,4,좋아요
238,소리글,4.5,좋아요
239,소리글,4.5,좋아요
240,담뽀뽀,5,케이크가 맛있어요~ 직원분도 친절하고 포장도 예쁘게해주셔서 추천요 제철과일이라 신선하고 크레이프케이크 강추!
241,제이유블,4,맛있었는데 사람이 너~ 무 많았어요 .. 직원분 별로 친절하지두 않았음
242,eoou,5,짧게 있었지만 넓고 좋아요ㅠㅠ
243,Olivia,3,달지 않고 맛있는 쉬폰 케이크가 있는 곳 직원은 친절하지 않았어요
244,duw****,3,쏘쏘 ㅎ
245,도쿄바나나,5,#성수카페 #마를리 말차라떼 굿! 자몽케익 노노
246,옵티,4,맛나요
247,sudin,4,"지나가다 인테리어가 예뻐서 들어갔슴미다 디저트 맛은 무난 (스콘맛있, 케이크는평범) 아메리카노는 보리차보다 연해서 거의 무향이었슴미다,,,"
248,쩨니,1,청양고추슥혼 도전 대실패 ..
249,쩨니,2,라떼는 물탄라떼맛이라 아쉬워요 😭 케이크는 꾸덕하니 맛있어요 ㅎㅅㅎ
250,910731,5,자릿수 맛 위치 모두 만족
251,Shin,4.5,케이크 진짜 맛있어요!! 분위기도 좋고 카페 인테리어도 예뻐요~ :)
252,김수한무,3,분위가 좋아요
253,yun****,5,와 비싸긴 한데 맛있네여... 존맛
254,아지,5,메론케이크가 맛있음
255,darrenn,4,좋아요
256,아현,3,평범쓰해요!
257,daum5840,5,맛있어요~~~
258,다연,1.5,케이크는 맛있는데 서비스가 별로였아요
259,링케,5,맛있어요
260,Obed Edom,4,"밀크레이프 7,500원 자몽스무디 6,500원 더치커피 5,000원"
261,0,4,칼끔합니다
262,0,4,맛나요
263,rnt****,4,분위기 좋아용
